,text,created_at,lang
47,"RT @DuckDuckGo: Even if you've asked Facebook not to track you in your iPhone privacy settings, ""FB is using the accelerometer on your iPho…",2021-11-19 22:40:25+00:00,en
48,"#Apple parts, tools, and manuals — starting with #iPhone 12 and iPhone 13 — #available to #individual #consumers.

➡️  https://t.co/5cHlTE3Nc6 https://t.co/ZB6U9lP9RO",2021-11-19 22:40:01+00:00,en
49,"Looking for a designed case to
protect your #iPhone13 ❓

Come and discover the new vCommute
by VENA🇺🇸 and enjoy its functionality,
its trendy look and its strong protection
🛒https://t.co/PKvA3eHnIU

⚠️GET 40% OFF TODAY :
#PromoCode : DEALS40⚪️🔴⚫️ https://t.co/pMHi3qmvTl",2021-11-19 22:40:00+00:00,en
50,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:39:06+00:00,en
51,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:38:43+00:00,en
52,"RT @taadelodun: On the 22nd of March 2020, Apple shares were trading at $53 per share. Today Apple reached an All Time High of $160 per sha…",2021-11-19 22:38:43+00:00,en
53,RT @phoebe__swift: Everyone asking me what camera I used to take this. Literally just an iPhone 11 and a telescope guys! @Apple really came…,2021-11-19 22:38:34+00:00,en
54,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:38:33+00:00,en
55,Everyone asking me what camera I used to take this. Literally just an iPhone 11 and a telescope guys! @Apple really came through 😂 #bloodmoon #eclipse #iphone11 https://t.co/oi4b3oYhws,2021-11-19 22:38:29+00:00,en
56,"@sibeleth In my country Apple charges almost double that, 0.425 eth for an iphone 13. Apple sucks",2021-11-19 22:38:12+00:00,en
57,"RT @ashraf04274766: #موسم_الرياض2021 🇸🇦
Wireless Charger,4 in 1 Fast Wireless Charging Station for iPhone 13 12 11/ Pro/XS/XR/X/SE/8/8 Plus…",2021-11-19 22:36:45+00:00,en
58,"#موسم_الرياض2021 🇸🇦
Wireless Charger,4 in 1 Fast Wireless Charging Station for iPhone 13 12 11/ Pro/XS/XR/X/SE/8/8 Plus,18W Fast Charging Dock Stand Compatible with iWatch S6/5/4/3/2/AirPods 1/2/Pro&amp;Apple Pencil 1

⬇️Bay now⬇️
📥📥📥📥📥📥

https://t.co/Xx2vgYMoJ2 https://t.co/r3RFcLx1VI",2021-11-19 22:36:40+00:00,en
59,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:36:37+00:00,en
60,"@Fronye08 Hi there! We’d love to help with the missing keyboards. Let’s be sure the software is up to date. This link will show you how to update: https://t.co/rF4EgW8JmZ Let’s also restart the iPhone. If those steps don't work, let’s meet in DM. https://t.co/GDrqU22YpT",2021-11-19 22:36:19+00:00,en
61,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:36:01+00:00,en
62,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:35:59+00:00,en
63,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:35:57+00:00,en
64,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:35:19+00:00,en
65,"Once the Apple Car is actually ready, as with almost every vertical they enter and dominate, expect $AAPL to become the #1 global player. Perhaps not in volume, but absolutely in profits, just like with the iPhone… (3/5)",2021-11-19 22:35:06+00:00,en
66,"RT @taadelodun: On the 22nd of March 2020, Apple shares were trading at $53 per share. Today Apple reached an All Time High of $160 per sha…",2021-11-19 22:34:51+00:00,en
67,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:34:14+00:00,en
68,"[Dome Case] Scope Case for Apple iPhone 13 Pro (6.1"")... https://t.co/IylznLlxIq… #Amazon

Whitestone is innovation.
Dome is perfect protection.
EZ is easy and cheap.

SHOP: Whitestone https://t.co/aveq5JEHBE 
amazon https://t.co/ZNWSEY02zi
#docomo #mobilefun https://t.co/I2Cus2ws1u",2021-11-19 22:34:03+00:00,en
69,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:33:56+00:00,en
70,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:33:53+00:00,en
71,"RT @Ewan: Apple Loop: Stunning New iPhone Leaks, Safari’s Fast Fix, Apple’s Shocking U-Turn via @forbes https://t.co/FBh1b4gTpv",2021-11-19 22:33:33+00:00,en
72,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:33:31+00:00,en
73,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:33:26+00:00,en
74,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:33:24+00:00,en
75,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:33:19+00:00,en
76,"Estas Escuchando la #1 en REGAETTON Now playing on LMM REGGAETON RADIO: OLD REGGAETON MIX by DJ HERMAN! Tune in now: 
Android App https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",2021-11-19 22:33:10+00:00,en
77,"Fun Fact the top screen of a 2DS XL was made of an iPhone 5 (or older) maybe a 1st generation SE! I literally forgot to know a while back Nintendo is copying Apple as their idea, which they didn’t get mad at whoever made the 2DS XL. Put yours on it to see what happens! https://t.co/k9OcB85jY0",2021-11-19 22:33:09+00:00,en
78,"RT @stevendunston: TL;DR Apple changed its mind on Right to Repair because now they make more money from services, and they no longer have…",2021-11-19 22:33:07+00:00,en
79,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:33:06+00:00,en
80,"Apple Loop: Stunning New iPhone Leaks, Safari’s Fast Fix, Apple’s Shocking U-Turn via @forbes https://t.co/FBh1b4gTpv",2021-11-19 22:32:23+00:00,en
81,RT @jwsherrod: What’s really behind #Apple’s new ‘Self Service Repair’ program? It's not just about letting you repair your own #iPhone. ht…,2021-11-19 22:31:51+00:00,en
82,What’s really behind #Apple’s new ‘Self Service Repair’ program? It's not just about letting you repair your own #iPhone. https://t.co/KnSCq4zgXE,2021-11-19 22:31:46+00:00,en
83,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:31:41+00:00,en
84,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:31:30+00:00,en
85,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:31:27+00:00,en
86,"Escucha la Mejor Estacion  LMM URBAN RADIO: URBAN THROWBACK MIX VOL 2 by DJ ARIES! Tune in now. 

https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",2021-11-19 22:31:21+00:00,en
87,RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! #indiegame #gamedev #indiedev #pixelart #pixel #indiev…,2021-11-19 22:31:15+00:00,en
88,"Not only is this true, but @Apple is exceptionally good at raising the overall quality of the object it builds. Y’all remember with how creaky &amp; cheap phones were before the iPhone? What will cars look like, in retrospect? What aspects of legacy fit and finish will we chuckle at? https://t.co/nE1i2t5dJ2",2021-11-19 22:31:07+00:00,en
89,"RT @Ivtala: If you had chance to buy apple tokens just before iPhone were introduced what  would you do? Ha? Exactly!
Here’s the same with…",2021-11-19 22:31:05+00:00,en
90,@Apple how hard is it really to come out with a HOT PINK iPhone ? i’m getting annoyed.,2021-11-19 22:30:59+00:00,en
91,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:30:55+00:00,en
92,Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! #indiegame #gamedev #indiedev #pixelart #pixel #indievideogames #retro #ios #indiegames #videogames #apple #ios #indiegamedev 'THE BEST MOBILE RPG!' https://t.co/xsaanL3T2B! https://t.co/rN44lpRsWl,2021-11-19 22:30:53+00:00,en
93,"@tnb1191 @Spacextool On INSTAGRAM helped my fix all my Apple device issues, I was Locked up but they helped me unlock my iPhone, they’re the best, if you have any Apple Device issues Send them a message for help now.",2021-11-19 22:30:19+00:00,en
94,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:30:13+00:00,en
95,@Apple iPhone so fancy and can’t even paste a phone number into the call screen. Idk,2021-11-19 22:30:10+00:00,en
96,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:29:51+00:00,en
97,"Estas Escuchando la mas En Variedad Now playing on LMM RADIO: Suavemente by Elvis Crespo! Tune in now. 
Android App
https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",2021-11-19 22:29:43+00:00,en
98,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:29:37+00:00,en
99,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:29:20+00:00,en
